,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
553,557,Saint Judy,"$96,212","$78,935",82%,"$17,277",18%,2019,"Blue Fox EntertainmentSee full company information

","$39,275",,"March 1, 2019
            (Domestic)",PG-13,1 hr 46 min,"Biography
    
        Drama","See more details at IMDbPro

"
554,558,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-,2019,,,,"January 16, 2008
            (France)",,1 hr 46 min,"Biography
    
        Documentary
    
        Drama","See more details at IMDbPro

"
555,559,Saand Ki Aankh,"$95,724",-,-,"$95,724",100%,2019,"Reliance EntertainmentSee full company information

",,,"October 24, 2019
            (EMEA, APAC)",,2 hr 26 min,"Biography
    
        Drama","See more details at IMDbPro

"
556,560,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%,2019,"Fathom EventsSee full company information

",,,"January 24, 2019
            (Domestic)",,1 hr 35 min,Horror,"See more details at IMDbPro

"
557,561,Papi Chulo,"$94,321","$84,703",89.8%,"$9,618",10.2%,2019,"Blue Fox EntertainmentSee full company information

","$7,257",,"June 7, 2019
            (Domestic, EMEA)",R,1 hr 38 min,"Comedy
    
        Drama","See more details at IMDbPro

"
558,562,Mapplethorpe,"$91,002","$91,002",100%,-,-,2019,"The Samuel Goldwyn CompanySee full company information

","$17,000",,"March 1, 2019
            (Domestic)",,1 hr 42 min,"Biography
    
        Drama","See more details at IMDbPro

"
559,563,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-,2019,"Gravitas VenturesSee full company information

","$28,253",,"June 7, 2019
            (Domestic)",PG,1 hr 20 min,"Documentary
    
        Sport","See more details at IMDbPro

"
560,564,The Lumber Baron,"$88,336","$88,336",100%,-,-,2019,"Indican PicturesSee full company information

","$15,059",,"May 24, 2019
            (Domestic)",PG,2 hr,"Drama
    
        History
    
        Mystery","See more details at IMDbPro

"
561,565,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-,2019,"Dada FilmsSee full company information

","$8,679",,"September 27, 2019
            (Domestic)",PG-13,1 hr 30 min,Documentary,"See more details at IMDbPro

"
562,566,ECCO,"$86,858","$86,858",100%,-,-,2019,"Citadel Film GroupSee full company information

","$48,205",,"August 9, 2019
            (Domestic)",R,2 hr 3 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
563,567,Vault,"$86,741","$29,491",34%,"$57,250",66%,2019,Grindstone Entertainment,,,"June 7, 2019
            (Domestic)",R,1 hr 39 min,"Action
    
        Crime
    
        Drama
    
        History
    
        Thriller","See more details at IMDbPro

"
564,568,Skid Row Marathon,"$84,997","$84,997",100%,-,-,2019,"Fathom EventsSee full company information

","$84,997",,"October 14, 2019
            (Domestic)",,1 hr 25 min,Documentary,"See more details at IMDbPro

"
565,569,Woodstock,"$84,440","$84,440",100%,-,-,2019,"PBS DistributionSee full company information

","$8,150",,"May 24, 2019
            (Domestic)",Not Rated,1 hr 46 min,"Documentary
    
        History","See more details at IMDbPro

"
566,570,The Disappearance of My Mother,"$83,930","$24,951",29.7%,"$58,979",70.3%,2019,"Kino LorberSee full company information

",,,"October 10, 2019
            (Italy)",,1 hr 34 min,Documentary,"See more details at IMDbPro

"
567,571,The Kindness of Strangers,"$83,042","$2,705",3.3%,"$80,337",96.7%,2019,eOne Entertainment,$839,,"December 6, 2019
            (Domestic)",,1 hr 52 min,Drama,"See more details at IMDbPro

"
568,572,Prey,"$82,258",-,-,"$82,258",100%,2019,"Cinedigm Entertainment GroupSee full company information

",,,"September 27, 2019
            (Domestic)",PG-13,1 hr 25 min,"Adventure
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
569,573,Kind Hearts and Coronets 2019 Re-release,"$80,795","$35,948",44.5%,"$44,847",55.5%,2019,"Eagle-Lion FilmsSee full company information

",,,"June 14, 1950
            (Domestic)",,1 hr 46 min,"Comedy
    
        Crime","See more details at IMDbPro

"
570,574,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%,2019,"Warner Bros.See full company information

","$45,687,711","$80,000,000","June 19, 1992
            (Domestic)",PG-13,2 hr 6 min,"Action
    
        Crime
    
        Fantasy","See more details at IMDbPro

"
571,575,Ms. Purple,"$80,657","$80,657",100%,-,-,2019,"OscilloscopeSee full company information

","$15,734",,"September 6, 2019
            (Domestic)",,1 hr 27 min,Drama,"See more details at IMDbPro

"
572,576,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%,2019,"Gravitas VenturesSee full company information

","$3,071",,"July 12, 2019
            (EMEA, Domestic)",,1 hr 40 min,"Biography
    
        Documentary","See more details at IMDbPro

"
573,577,End of the Century,"$79,607","$66,309",83.3%,"$13,298",16.7%,2019,"The Cinema GuildSee full company information

","$10,063",,"August 16, 2019
            (Domestic)",,1 hr 24 min,Drama,"See more details at IMDbPro

"
574,578,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-,2019,"Rialto PicturesSee full company information

","$9,006",,"April 3, 2019
            (Domestic)",,2 hr 30 min,Drama,"See more details at IMDbPro

"
575,579,Fast Colour,"$76,916","$76,916",100%,-,-,2019,"LionsgateSee full company information

","$37,594",,"April 19, 2019
            (Domestic)",PG-13,1 hr 40 min,"Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
576,580,Greener Grass,"$76,045","$51,456",67.7%,"$24,589",32.3%,2019,"IFC FilmsSee full company information

","$9,305",,"October 17, 2019
            (EMEA, APAC)",,1 hr 35 min,Comedy,"See more details at IMDbPro

"
577,581,5B,"$72,968","$72,968",100%,-,-,2019,Verizon Media/RYOT,"$38,314",,"June 14, 2019
            (Domestic)",PG-13,1 hr 34 min,Documentary,"See more details at IMDbPro

"
578,582,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-,2019,Independent,"$1,718",,"May 31, 2019
            (Domestic)",Not Rated,1 hr 38 min,"Adventure
    
        Comedy
    
        Documentary
    
        Drama","See more details at IMDbPro

"
579,583,The White Sheik 2019 re-release,"$68,940","$50,850",73.8%,"$18,090",26.2%,2019,"Rialto PicturesSee full company information

","$5,562",,"December 25, 2019
            (Domestic)",,1 hr 26 min,"Comedy
    
        Drama","See more details at IMDbPro

"
580,584,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%,2019,"Rialto PicturesSee full company information

","$15,485",,"January 18, 2008
            (Domestic)",,1 hr 34 min,"Drama
    
        Mystery","See more details at IMDbPro

"
581,585,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%,2019,"Hammond EntertainmentSee full company information

","$18,365",,"March 1, 2019
            (Domestic)",,1 hr 48 min,"Comedy
    
        Crime
    
        Romance","See more details at IMDbPro

"
582,586,Being Frank,"$67,343","$67,343",100%,-,-,2019,"The Film ArcadeSee full company information

","$16,392",,"June 14, 2019
            (Domestic)",R,1 hr 49 min,Comedy,"See more details at IMDbPro

"
583,587,The Jesus Rolls,"$64,648","$18,169",28.1%,"$46,479",71.9%,2019,"Variance FilmsSee full company information

",,,"October 17, 2019
            (Italy)",R,1 hr 25 min,"Comedy
    
        Crime
    
        Drama
    
        Romance","See more details at IMDbPro

"
584,588,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%,2019,"Matson FilmsSee full company information

","$12,348",,"October 25, 2019
            (Domestic)",,1 hr 34 min,Documentary,"See more details at IMDbPro

"
585,589,"Love, Antosha","$62,900","$50,168",79.8%,"$12,732",20.2%,2019,Lurker Films,"$7,150",,"August 2, 2019
            (Domestic)",R,1 hr 32 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

"
586,590,The Mountain,"$61,035","$61,035",100%,-,-,2019,"Kino LorberSee full company information

","$15,785",,"July 26, 2019
            (Domestic)",,1 hr 46 min,Drama,"See more details at IMDbPro

"
587,591,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 11, 2019
            (Domestic)",,1 hr 50 min,Music,"See more details at IMDbPro

"
588,592,Mickey and the Bear,"$57,188","$57,188",100%,-,-,2019,"UtopiaSee full company information

","$9,375",,"November 15, 2019
            (Domestic)",R,1 hr 28 min,Drama,"See more details at IMDbPro

"
589,593,Notebook,"$56,166",-,-,"$56,166",100%,2019,"Yash Raj FilmsSee full company information

",,,"March 28, 2019
            (EMEA, APAC)",,1 hr 55 min,"Drama
    
        Romance","See more details at IMDbPro

"
590,594,Vitalina Varela,"$55,862","$14,941",26.7%,"$40,921",73.3%,2019,"Grasshopper FilmSee full company information

","$4,612",,"October 31, 2019
            (Portugal)",,2 hr 4 min,Drama,"See more details at IMDbPro

"
591,595,Recorder: The Marion Stokes Project,"$55,632","$55,632",100%,-,-,2019,"Zeitgeist FilmsSee full company information

","$8,216",,"November 15, 2019
            (Domestic)",,1 hr 27 min,Documentary,"See more details at IMDbPro

"
592,596,American Dharma,"$51,891","$51,891",100%,-,-,2019,"UtopiaSee full company information

","$7,287",,"November 1, 2019
            (Domestic)",R,1 hr 35 min,"Biography
    
        Documentary","See more details at IMDbPro

"
593,597,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%,2019,"1091 MediaSee full company information

","$3,030",,"December 6, 2019
            (Domestic)",,1 hr 21 min,"Action
    
        Crime
    
        Documentary
    
        Drama","See more details at IMDbPro

"
594,598,Clinton Road,"$50,400","$50,400",100%,-,-,2019,"Nocturnal FeaturesSee full company information

","$38,880",,"June 14, 2019
            (Domestic)",,1 hr 17 min,Horror,"See more details at IMDbPro

"
595,599,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%,2019,"OscilloscopeSee full company information

","$3,549",,"September 18, 2019
            (Domestic)",,1 hr 28 min,"Documentary
    
        War","See more details at IMDbPro

"
596,600,Free Trip to Egypt,"$49,693","$49,693",100%,-,-,2019,Independent,"$1,718",,"May 31, 2019
            (Domestic)",Not Rated,1 hr 38 min,"Adventure
    
        Comedy
    
        Documentary
    
        Drama","See more details at IMDbPro

"
597,601,The Bounty Killer,"$48,815","$48,815",100%,-,-,2019,"Indican PicturesSee full company information

","$20,805",,"January 25, 2019
            (Domestic)",,1 hr 27 min,"Action
    
        Western","See more details at IMDbPro

"
598,602,The Queen,"$47,818","$47,818",100%,-,-,2019,"Kino LorberSee full company information

","$7,173",,"June 28, 2019
            (Domestic)",,1 hr 8 min,Documentary,"See more details at IMDbPro

"
599,603,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%,2019,"Metrograph PicturesSee full company information

",,,"January 18, 2019
            (United Kingdom)",,1 hr 37 min,Documentary,"See more details at IMDbPro

"
600,604,High on the Hog,"$45,696","$45,696",100%,-,-,2019,"Indican PicturesSee full company information

","$15,125",,"April 19, 2019
            (Domestic)",,1 hr 25 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
601,605,The Proposal,"$45,149","$45,149",100%,-,-,2019,"OscilloscopeSee full company information

","$10,449",,"May 24, 2019
            (Domestic)",,1 hr 26 min,Documentary,"See more details at IMDbPro

"
602,606,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%,2019,KimStim,"$5,034",,"June 13, 2019
            (Russia/CIS)",,1 hr 14 min,Documentary,"See more details at IMDbPro

"
603,607,What Is Democracy?,"$44,536","$44,536",100%,-,-,2019,"Zeitgeist FilmsSee full company information

","$6,284",,"January 16, 2019
            (Domestic)",,1 hr 47 min,Documentary,"See more details at IMDbPro

"
604,608,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-,2019,,,,"September 22, 2017
            (United Kingdom)",,1 hr 32 min,"Crime
    
        Drama
    
        History
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
605,609,What You Gonna Do When the World's on Fire?,"$44,290","$4,672",10.5%,"$39,618",89.5%,2019,KimStim,,,"May 9, 2019
            (Italy)",,2 hr 3 min,Documentary,"See more details at IMDbPro

"
606,610,Carmine Street Guitars,"$44,253","$44,253",100%,-,-,2019,"AbramoramaSee full company information

","$6,090",,"April 24, 2019
            (Domestic)",,1 hr 20 min,"Documentary
    
        Music","See more details at IMDbPro

"
607,611,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%,2019,"Comedy DynamicsSee full company information

","$21,567",,"March 28, 2019
            (Domestic)",R,1 hr 29 min,Comedy,"See more details at IMDbPro

"
608,612,Our Time,"$42,107","$14,777",35.1%,"$27,330",64.9%,2019,"Monument ReleasingSee full company information

","$3,000",,"January 17, 2019
            (Russia/CIS)",,2 hr 57 min,Drama,"See more details at IMDbPro

"
609,613,Union,"$41,656","$41,656",100%,-,-,2019,"Indican PicturesSee full company information

","$11,900",,"August 2, 2019
            (Domestic)",,2 hr 15 min,"Drama
    
        History
    
        War","See more details at IMDbPro

"
610,614,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%,2019,"Arrow FilmsSee full company information

",,,"April 4, 2019
            (Russia/CIS)",,1 hr 39 min,"Comedy
    
        Drama
    
        Thriller","See more details at IMDbPro

"
611,615,Aniara,"$40,124","$40,124",100%,-,-,2019,"Magnolia PicturesSee full company information

","$19,297",,"May 17, 2019
            (Domestic)",R,1 hr 46 min,"Drama
    
        Sci-Fi","See more details at IMDbPro

"
612,616,Zilla and Zoe,"$39,003","$39,003",100%,-,-,2019,"Indican PicturesSee full company information

","$11,392",,"May 17, 2019
            (Domestic)",,1 hr 44 min,Comedy,"See more details at IMDbPro

"
613,617,Shed of the Dead,"$38,901","$38,901",100%,-,-,2019,"Indican PicturesSee full company information

","$18,960",,"May 17, 2019
            (Domestic)",,1 hr 22 min,"Comedy
    
        Horror","See more details at IMDbPro

"
614,618,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%,2019,"Warner Bros.See full company information

","$52,784,433","$100,000,000","June 16, 1995
            (Domestic)",PG-13,2 hr 1 min,"Action
    
        Adventure","See more details at IMDbPro

"
615,619,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%,2019,"Screen Media FilmsSee full company information

","$14,704",,"August 30, 2019
            (United Kingdom)",,1 hr 35 min,"Documentary
    
        Horror
    
        Sci-Fi","See more details at IMDbPro

"
616,620,The Quiet One,"$37,010","$37,010",100%,-,-,2019,"IFC FilmsSee full company information

","$7,695",,"June 21, 2019
            (Domestic)",,1 hr 38 min,"Documentary
    
        Music","See more details at IMDbPro

"
617,621,The Death of Dick Long,"$36,856","$36,856",100%,-,-,2019,"A24See full company information

","$26,630",,"September 27, 2019
            (Domestic)",R,1 hr 40 min,"Comedy
    
        Crime
    
        Drama","See more details at IMDbPro

"
618,622,Loro,"$35,613","$35,613",100%,-,-,2019,"IFC FilmsSee full company information

","$5,317",,"September 20, 2019
            (Domestic)",,2 hr 31 min,"Biography
    
        Drama","See more details at IMDbPro

"
619,623,Ága,"$35,178","$35,178",100%,-,-,2019,"Big World PicturesSee full company information

","$2,553",,"September 4, 2019
            (Domestic)",,1 hr 36 min,Drama,"See more details at IMDbPro

"
620,624,Killer Unicorn,"$33,901","$33,901",100%,-,-,2019,"Indican PicturesSee full company information

","$15,515",,"June 14, 2019
            (Domestic)",,1 hr 14 min,Horror,"See more details at IMDbPro

"
621,625,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-,2019,"AbramoramaSee full company information

","$5,424",,"September 13, 2019
            (Domestic)",,1 hr 30 min,Documentary,"See more details at IMDbPro

"
622,626,Redoubt,"$33,155","$33,155",100%,-,-,2019,"Grasshopper FilmSee full company information

","$5,253",,"November 1, 2019
            (Domestic)",,2 hr 14 min,Drama,"See more details at IMDbPro

"
623,627,An Acceptable Loss,"$32,427","$32,427",100%,-,-,2019,"IFC FilmsSee full company information

","$3,447",,"January 18, 2019
            (Domestic)",R,1 hr 42 min,"Drama
    
        Thriller","See more details at IMDbPro

"
624,628,10E,"$32,413","$32,413",100%,-,-,2019,in8 Releasing,"$28,863",,"September 27, 2019
            (Domestic)",,1 hr 34 min,Comedy,"See more details at IMDbPro

"
625,629,Shooting the Mafia,"$32,042","$10,881",34%,"$21,161",66%,2019,"Cohen Media GroupSee full company information

","$3,251",,"November 22, 2019
            (Domestic)",,1 hr 34 min,"Biography
    
        Documentary","See more details at IMDbPro

"
626,630,Desolation Center,"$32,016","$32,016",100%,-,-,2019,"Matson FilmsSee full company information

","$4,938",,"September 13, 2019
            (Domestic)",,1 hr 33 min,Documentary,"See more details at IMDbPro

"
627,631,Gift,"$31,588","$31,588",100%,-,-,2019,"Matson FilmsSee full company information

","$4,255",,"October 11, 2019
            (Domestic)",,1 hr 30 min,Documentary,"See more details at IMDbPro

"
628,632,The Cat Rescuers,"$31,540","$31,540",100%,-,-,2019,"Balcony ReleasingSee full company information

","$4,252",,"July 5, 2019
            (Domestic)",,1 hr 27 min,Documentary,"See more details at IMDbPro

"
629,633,Buddy,"$31,203","$31,203",100%,-,-,2019,"Grasshopper FilmSee full company information

",,,"March 20, 2019
            (Domestic)",,1 hr 26 min,Documentary,"See more details at IMDbPro

"
630,634,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-,2019,,,,"September 25, 2014
            (Italy)",,1 hr 24 min,"Biography
    
        Drama","See more details at IMDbPro

"
631,635,Los Reyes,"$30,418","$30,418",100%,-,-,2019,"Grasshopper FilmSee full company information

","$5,661",,"August 16, 2019
            (Domestic)",,1 hr 18 min,Documentary,"See more details at IMDbPro

"
632,636,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 19, 2019
            (Domestic)",,1 hr 40 min,Music,"See more details at IMDbPro

"
633,637,The Perfect Race,"$29,644","$29,644",100%,-,-,2019,"Five & Two PicturesSee full company information

","$3,400",,"October 14, 2019
            (Domestic)",,,Drama,"See more details at IMDbPro

"
634,638,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-,2019,"Strand ReleasingSee full company information

","$3,295",,"July 26, 2019
            (Domestic)",,1 hr 48 min,Drama,"See more details at IMDbPro

"
635,639,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%,2019,"Warner Bros.See full company information

","$42,872,605","$125,000,000","June 20, 1997
            (Domestic)",PG-13,2 hr 5 min,"Action
    
        Sci-Fi","See more details at IMDbPro

"
636,640,The Load,"$28,410","$28,410",100%,-,-,2019,"Grasshopper FilmSee full company information

","$4,094",,"August 30, 2019
            (Domestic)",,1 hr 38 min,Drama,"See more details at IMDbPro

"
637,641,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-,2019,"Artisan EntertainmentSee full company information

",,,"January 11, 1984
            (Domestic)",,2 hr 21 min,Drama,"See more details at IMDbPro

"
638,642,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%,2019,"Icarus FilmsSee full company information

",,,"February 10, 2019
            (Domestic)",,1 hr 35 min,Documentary,"See more details at IMDbPro

"
639,643,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-,2019,"Greenwich EntertainmentSee full company information

","$4,248",,"May 29, 2019
            (Domestic)",,1 hr 25 min,Documentary,"See more details at IMDbPro

"
640,644,Wrestle,"$26,597","$26,597",100%,-,-,2019,"OscilloscopeSee full company information

","$6,027",,"February 22, 2019
            (Domestic)",,1 hr 36 min,"Documentary
    
        Sport","See more details at IMDbPro

"
641,645,Donnybrook,"$26,284","$26,284",100%,-,-,2019,"IFC FilmsSee full company information

","$9,802",,"February 15, 2019
            (Domestic)",R,1 hr 41 min,"Drama
    
        Thriller","See more details at IMDbPro

"
642,646,Light from Light,"$24,808","$24,808",100%,-,-,2019,"Grasshopper FilmSee full company information

","$4,719",,"November 1, 2019
            (Domestic)",,1 hr 22 min,Drama,"See more details at IMDbPro

"
643,647,Strike,"$24,743","$15,758",63.7%,"$8,985",36.3%,2019,"Indican PicturesSee full company information

","$1,934",,"May 10, 2019
            (United Kingdom)",,1 hr 40 min,"Adventure
    
        Animation
    
        Comedy
    
        Family","See more details at IMDbPro

"
644,648,Hyenas,"$24,672","$24,672",100%,-,-,2019,"Metrograph PicturesSee full company information

",,,"April 19, 2019
            (Domestic)",,1 hr 50 min,"Comedy
    
        Drama","See more details at IMDbPro

"
645,649,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%,2019,"Cohen Media GroupSee full company information

","$9,277",,"January 11, 2019
            (Domestic)",R,1 hr 30 min,Drama,"See more details at IMDbPro

"
646,650,Chasing Einstein,"$24,057","$24,057",100%,-,-,2019,"Atlas Distribution CompanySee full company information

","$9,708",,"September 13, 2019
            (Domestic)",,1 hr 22 min,Documentary,"See more details at IMDbPro

"
647,651,Steven Universe: The Movie,"$24,012",-,-,"$24,012",100%,2019,"Fathom EventsSee full company information

",,,"October 24, 2019
            (Argentina)",,1 hr 22 min,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Musical
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
648,652,Robert the Bruce,"$23,425",-,-,"$23,425",100%,2019,"Fathom EventsSee full company information

",,,"June 28, 2019
            (United Kingdom)",,2 hr 4 min,"Action
    
        History","See more details at IMDbPro

"
649,653,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%,2019,"IFC FilmsSee full company information

","$3,568",,"August 9, 2019
            (Domestic)",R,1 hr 37 min,Comedy,"See more details at IMDbPro

"
650,654,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%,2019,"IFC FilmsSee full company information

","$5,449",,"September 13, 2019
            (Domestic)",,1 hr 25 min,Drama,"See more details at IMDbPro

"
651,655,Wicked Witches,"$21,600","$21,600",100%,-,-,2019,"Nocturnal FeaturesSee full company information

","$21,600",,"August 9, 2019
            (Domestic)",,1 hr 19 min,Horror,"See more details at IMDbPro

"
652,656,Round of Your Life,"$20,941","$20,941",100%,-,-,2019,"Ammo ContentSee full company information

","$4,336",,"June 21, 2019
            (Domestic)",,1 hr 31 min,"Family
    
        Sport","See more details at IMDbPro

"
653,657,The All Americans,"$20,324","$20,324",100%,-,-,2019,"AbramoramaSee full company information

","$7,805",,"November 8, 2019
            (Domestic)",,,Adult,"See more details at IMDbPro

"
654,658,General Magic,"$20,046","$20,046",100%,-,-,2019,"Gravitas VenturesSee full company information

","$2,267",,"May 10, 2019
            (Domestic)",,1 hr 33 min,Documentary,"See more details at IMDbPro

"
655,659,The Gospel of Eureka,"$20,039","$20,039",100%,-,-,2019,"Kino LorberSee full company information

","$3,517",,"February 8, 2019
            (Domestic)",,1 hr 15 min,"Documentary
    
        Music","See more details at IMDbPro

"
656,660,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-,2019,"Magnolia PicturesSee full company information

","$10,837",,"November 15, 2019
            (Domestic)",,1 hr 37 min,Documentary,"See more details at IMDbPro

"
657,661,Before Stonewall,"$18,724","$18,724",100%,-,-,2019,"First RunSee full company information

","$4,588",,"June 21, 2019
            (Domestic)",,1 hr 27 min,"Documentary
    
        History","See more details at IMDbPro

"
658,662,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-,2019,European International,,,"June 3, 1983
            (Domestic)",,2 hr 2 min,"Biography
    
        Crime
    
        Drama
    
        History
    
        Mystery
    
        Romance","See more details at IMDbPro

"
659,663,"Phoenix, Oregon","$18,356","$18,356",100%,-,-,2019,"Joma FilmsSee full company information

","$2,981",,"May 2, 2019
            (Domestic)",R,1 hr 48 min,Comedy,"See more details at IMDbPro

"
660,664,The Cranes Are Flying,"$17,923","$17,923",100%,-,-,2019,"Janus FilmsSee full company information

",,,"July 12, 2019
            (Domestic)",,1 hr 35 min,"Drama
    
        Romance
    
        War","See more details at IMDbPro

"
661,665,Chained for Life,"$17,431","$17,431",100%,-,-,2019,"Kino InternationalSee full company information

","$7,415",,"September 13, 2019
            (Domestic)",,1 hr 31 min,Drama,"See more details at IMDbPro

"
662,666,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-,2019,"First RunSee full company information

","$5,686",,"March 1, 2019
            (Domestic)",,1 hr 24 min,Documentary,"See more details at IMDbPro

"
663,667,Virginia Minnesota,"$16,118","$16,118",100%,-,-,2019,"Indican PicturesSee full company information

","$3,844",,"March 1, 2019
            (Domestic)",,1 hr 38 min,"Comedy
    
        Drama","See more details at IMDbPro

"
664,668,Starfish,"$15,849","$15,849",100%,-,-,2019,"Yellow Veil PicturesSee full company information

",,,"March 15, 2019
            (Domestic)",,1 hr 41 min,"Drama
    
        Sci-Fi","See more details at IMDbPro

"
665,669,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-,2019,"Atlas Distribution CompanySee full company information

","$14,853",,"March 29, 2019
            (Domestic)",R,1 hr 3 min,"Action
    
        Animation
    
        Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
666,670,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-,2019,,,,"February 8, 2017
            (France)",,2 hr 1 min,Documentary,"See more details at IMDbPro

"
667,671,Stuffed,"$15,532","$15,532",100%,-,-,2019,"Music Box FilmsSee full company information

","$1,602",,"October 16, 2019
            (Domestic)",,1 hr 24 min,Documentary,"See more details at IMDbPro

"
668,672,Between the Lines,"$15,383","$15,383",100%,-,-,2019,"Cohen Media GroupSee full company information

",,,"February 22, 2019
            (Domestic)",,1 hr 41 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

"
669,673,Funan,"$15,152","$15,152",100%,-,-,2019,"GKIDSSee full company information

","$1,871",,"June 7, 2019
            (Domestic)",,1 hr 24 min,"Animation
    
        War","See more details at IMDbPro

"
670,674,Wrinkles the Clown,"$14,938","$14,938",100%,-,-,2019,"Magnolia PicturesSee full company information

","$28,248",,"October 4, 2019
            (Domestic)",,1 hr 18 min,"Comedy
    
        Documentary
    
        Horror
    
        Mystery","See more details at IMDbPro

"
671,675,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-,2019,"AbramoramaSee full company information

",,,"August 19, 2019
            (Domestic)",,1 hr 31 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

"
672,676,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-,2019,,,,"September 20, 2017
            (France)",,1 hr 24 min,"Drama
    
        Thriller","See more details at IMDbPro

"
673,677,Combat Obscura,"$14,242","$14,242",100%,-,-,2019,"OscilloscopeSee full company information

","$10,112",,"March 15, 2019
            (Domestic)",,1 hr 10 min,Documentary,"See more details at IMDbPro

"
674,678,Screwball,"$13,967","$13,967",100%,-,-,2019,"Greenwich EntertainmentSee full company information

","$8,595",,"March 29, 2019
            (Domestic)",,1 hr 45 min,Documentary,"See more details at IMDbPro

"
675,679,Genesis,"$13,856","$6,784",49%,"$7,072",51%,2019,"Film MovementSee full company information

","$2,585",,"July 19, 2019
            (Spain)",,2 hr 9 min,Drama,"See more details at IMDbPro

"
676,680,This One's for the Ladies,"$13,688","$13,688",100%,-,-,2019,Super,"$13,688",,"June 7, 2019
            (Domestic)",NC-17,1 hr 22 min,Documentary,"See more details at IMDbPro

"
677,681,Rapid Response,"$13,294","$13,294",100%,-,-,2019,"Atlas Distribution CompanySee full company information

","$4,497",,"September 6, 2019
            (Domestic)",PG-13,1 hr 39 min,Documentary,"See more details at IMDbPro

"
678,682,Duet for Cannibals 2019 re-release,"$12,962","$12,962",100%,-,-,2019,"Metrograph PicturesSee full company information

",,,"November 22, 2019
            (Domestic)",,1 hr 45 min,Drama,"See more details at IMDbPro

"
