,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
171,172,The Old Man & the Gun,"$17,860,397","$11,277,120",63.1%,"$6,583,277",36.9%,2018,"Fox Searchlight PicturesSee full company information

","$142,131","September 28, 2018
            (Domestic)",PG-13,1 hr 33 min,"Biography
    
        Comedy
    
        Crime
    
        Drama
    
        Romance","See more details at IMDbPro

",
172,173,The Children Act,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%,2018,"A24See full company information

","$76,108","August 1, 2018
            (EMEA)",R,1 hr 45 min,Drama,"See more details at IMDbPro

",
173,174,Operation Finale,"$17,612,099","$17,612,099",100%,-,-,2018,"Metro-Goldwyn-Mayer (MGM)See full company information

","$6,022,758","August 29, 2018
            (Domestic)",PG-13,2 hr 2 min,"Biography
    
        Drama
    
        History
    
        Thriller
    
        War","See more details at IMDbPro

","$24,000,000"
174,175,Loving Pablo,"$17,535,962","$22,017",0.1%,"$17,513,945",99.9%,2018,"Universal PicturesSee full company information

","$16,564","March 9, 2018
            (Spain)",R,2 hr 3 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

",
175,176,102 Not Out,"$16,758,596","$1,343,797",8%,"$15,414,799",92%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$483,681","May 3, 2018
            (EMEA, APAC)",PG,1 hr 42 min,"Comedy
    
        Drama","See more details at IMDbPro

",
176,177,Beautiful Boy,"$16,636,604","$7,649,973",46%,"$8,986,631",54%,2018,"Amazon StudiosSee full company information

","$218,888","October 12, 2018
            (Domestic)",R,2 hr,"Biography
    
        Drama","See more details at IMDbPro

",
177,178,Upgrade,"$16,593,554","$11,977,130",72.2%,"$4,616,424",27.8%,2018,"BH TiltSee full company information

","$4,670,905","May 31, 2018
            (New Zealand)",R,1 hr 40 min,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
178,179,Forever My Girl,"$16,376,066","$16,376,066",100%,-,-,2018,"Roadside AttractionsSee full company information

","$4,245,630","January 19, 2018
            (Domestic)",PG,1 hr 48 min,"Drama
    
        Music
    
        Romance","See more details at IMDbPro

","$3,500,000"
179,180,Unfriended: Dark Web,"$16,024,987","$8,866,745",55.3%,"$7,158,242",44.7%,2018,"BH TiltSee full company information

","$3,653,035","July 19, 2018
            (Singapore)",R,1 hr 32 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$1,000,000"
180,181,Finding Your Feet,"$15,845,593","$1,418,682",9%,"$14,426,911",91%,2018,"Roadside AttractionsSee full company information

","$60,132","February 22, 2018
            (APAC)",PG-13,1 hr 51 min,"Comedy
    
        Drama
    
        Family
    
        Music
    
        Romance","See more details at IMDbPro

",
181,182,Feng Shui,"$15,702,302","$64,147",0.4%,"$15,638,155",99.6%,2018,"CJ EntertainmentSee full company information

","$9,644","September 19, 2018
            (South Korea)",,2 hr 13 min,"Drama
    
        History","See more details at IMDbPro

",
182,183,Tully,"$15,636,462","$9,369,755",59.9%,"$6,266,707",40.1%,2018,"Focus FeaturesSee full company information

","$3,282,610","May 3, 2018
            (United Arab Emirates)",R,1 hr 35 min,"Comedy
    
        Drama
    
        Mystery","See more details at IMDbPro

",
183,184,The Negotiation,"$15,229,193","$110,986",0.7%,"$15,118,207",99.3%,2018,"CJ EntertainmentSee full company information

","$14,273","January 25, 2018
            (New Zealand)",,1 hr 54 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

",
184,185,RBG,"$14,441,292","$14,017,361",97.1%,"$423,931",2.9%,2018,"Magnolia PicturesSee full company information

","$578,470","May 4, 2018
            (Domestic)",PG,1 hr 38 min,"Biography
    
        Documentary","See more details at IMDbPro

",
185,186,Eighth Grade,"$14,347,433","$13,539,709",94.4%,"$807,724",5.6%,2018,"A24See full company information

","$263,797","July 13, 2018
            (Domestic)",R,1 hr 33 min,"Comedy
    
        Drama","See more details at IMDbPro

",
186,187,Thugs of Hindostan,"$14,341,431","$1,449,848",10.1%,"$12,891,583",89.9%,2018,"Yash Raj FilmsSee full company information

","$1,185,386","November 8, 2018
            (4 markets)",,2 hr 44 min,"Action
    
        Adventure","See more details at IMDbPro

",
187,188,Unsane,"$14,293,601","$7,732,899",54.1%,"$6,560,702",45.9%,2018,"Bleecker Street MediaSee full company information

","$3,762,145","March 21, 2018
            (Philippines)",R,1 hr 38 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
188,189,Colette,"$14,273,033","$5,137,622",36%,"$9,135,411",64%,2018,"Bleecker Street MediaSee full company information

","$161,179","September 21, 2018
            (Domestic)",R,1 hr 51 min,"Biography
    
        Drama
    
        History
    
        Romance","See more details at IMDbPro

",
189,190,Ya veremos,"$14,134,723","$4,165,949",29.5%,"$9,968,774",70.5%,2018,"Pantelion FilmsSee full company information

","$1,803,848","August 3, 2018
            (Mexico)",PG-13,1 hr 25 min,Drama,"See more details at IMDbPro

",
190,191,The Quake,"$13,837,294","$6,235",<0.1%,"$13,831,059",100%,2018,"Magnolia PicturesSee full company information

","$3,256","August 31, 2018
            (Norway)",PG-13,1 hr 46 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

",
191,192,Three Identical Strangers,"$13,448,497","$12,320,845",91.6%,"$1,127,652",8.4%,2018,"NeonSee full company information

","$171,503","June 29, 2018
            (Domestic)",PG-13,1 hr 36 min,"Biography
    
        Documentary
    
        Drama
    
        History
    
        Mystery","See more details at IMDbPro

",
192,193,Hotel Artemis,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%,2018,Global Road Entertainment,"$3,232,790","June 7, 2018
            (Israel)",R,1 hr 34 min,"Action
    
        Crime
    
        Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
193,194,The Sisters Brothers,"$13,143,056","$3,143,056",23.9%,"$10,000,000",76.1%,2018,"Annapurna PicturesSee full company information

","$115,575","September 19, 2018
            (France)",R,2 hr 2 min,"Crime
    
        Drama
    
        Western","See more details at IMDbPro

",
194,195,Welcome to Marwen,"$13,061,491","$10,763,520",82.4%,"$2,297,971",17.6%,2018,"Universal PicturesSee full company information

","$2,354,205","December 21, 2018
            (Domestic)",PG-13,1 hr 56 min,"Biography
    
        Comedy
    
        Drama
    
        Fantasy
    
        Romance","See more details at IMDbPro

","$39,000,000"
195,196,Take Point,"$12,908,032","$112,386",0.9%,"$12,795,646",99.1%,2018,"CJ EntertainmentSee full company information

","$21,189","December 26, 2018
            (South Korea)",,1 hr 59 min,Action,"See more details at IMDbPro

",
196,197,Luis and the Aliens,"$12,627,729","$169,710",1.3%,"$12,458,019",98.7%,2018,"Viva PicturesSee full company information

",,"April 6, 2018
            (Poland)",PG,1 hr 26 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi","See more details at IMDbPro

",
197,198,Can You Ever Forgive Me?,"$12,442,161","$8,803,865",70.8%,"$3,638,296",29.2%,2018,"Fox Searchlight PicturesSee full company information

","$161,510","October 19, 2018
            (Domestic)",R,1 hr 46 min,"Biography
    
        Comedy
    
        Crime
    
        Drama","See more details at IMDbPro

",
198,199,Rampant,"$12,359,573","$167,937",1.4%,"$12,191,636",98.6%,2018,"Well Go USA EntertainmentSee full company information

","$18,326","October 25, 2018
            (South Korea)",,2 hr 1 min,"Action
    
        Horror","See more details at IMDbPro

",
199,200,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849",$220,<0.1%,"$12,353,629",100%,2018,,,"December 13, 2017
            (France)",PG,1 hr 28 min,"Adventure
    
        Animation
    
        Comedy
    
        Family","See more details at IMDbPro

",
200,201,Little Women,"$12,165,890","$1,379,497",11.3%,"$10,786,393",88.7%,2018,Pinnacle Peak,"$705,063","September 28, 2018
            (Domestic)",PG-13,1 hr 52 min,"Drama
    
        Family","See more details at IMDbPro

",
201,202,Boy Erased,"$11,853,081","$6,788,692",57.3%,"$5,064,389",42.7%,2018,"Focus FeaturesSee full company information

","$207,057","November 2, 2018
            (Domestic)",R,1 hr 55 min,"Biography
    
        Drama","See more details at IMDbPro

",
202,203,Unstoppable,"$11,845,347","$101,417",0.9%,"$11,743,930",99.1%,2018,"Well Go USA EntertainmentSee full company information

","$42,133","November 22, 2018
            (South Korea)",,1 hr 56 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

",
203,204,Last Letter,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%,2018,"China Lion Film DistributionSee full company information

","$80,485","November 8, 2018
            (Australia)",,1 hr 54 min,"Drama
    
        Romance","See more details at IMDbPro

",
204,205,Ash Is Purest White,"$11,813,509","$422,814",3.6%,"$11,390,695",96.4%,2018,"Cohen Media GroupSee full company information

","$45,150","September 21, 2018
            (China)",Not Rated,2 hr 16 min,"Crime
    
        Drama
    
        Romance","See more details at IMDbPro

",
205,206,Ballon,"$11,799,591","$34,222",0.3%,"$11,765,369",99.7%,2018,"Distrib FilmsSee full company information

",,"September 27, 2018
            (EMEA)",,2 hr 5 min,"Drama
    
        Family
    
        History
    
        Thriller","See more details at IMDbPro

",
206,207,King of Thieves,"$11,353,515","$7,518",<0.1%,"$11,345,997",99.9%,2018,"Saban FilmsSee full company information

","$3,502","September 14, 2018
            (United Kingdom)",R,1 hr 48 min,"Crime
    
        Drama","See more details at IMDbPro

",
207,208,At Eternity's Gate,"$11,242,604","$2,294,915",20.4%,"$8,947,689",79.6%,2018,"CBS FilmsSee full company information

","$92,856","November 16, 2018
            (Domestic)",PG-13,1 hr 51 min,"Biography
    
        Drama","See more details at IMDbPro

",
208,209,La boda de Valentina,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%,2018,"Pantelion FilmsSee full company information

","$1,147,073","February 9, 2018
            (Domestic, LATAM)",R,1 hr 47 min,"Comedy
    
        Romance","See more details at IMDbPro

",
209,210,Gringo,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%,2018,"STX EntertainmentSee full company information

","$2,722,420","March 8, 2018
            (APAC, EMEA)",R,1 hr 51 min,"Action
    
        Comedy
    
        Crime
    
        Drama","See more details at IMDbPro

",
210,211,Golden Slumber,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%,2018,"CJ EntertainmentSee full company information

",,"February 14, 2018
            (South Korea)",,1 hr 48 min,"Action
    
        Thriller","See more details at IMDbPro

",
211,212,Red Joan,"$10,647,493","$1,579,730",14.8%,"$9,067,763",85.2%,2018,"IFC FilmsSee full company information

","$38,949","November 1, 2018
            (Australia)",R,1 hr 41 min,"Biography
    
        Drama
    
        History
    
        Romance","See more details at IMDbPro

",
212,213,Every Day,"$10,421,847","$6,102,076",58.6%,"$4,319,771",41.4%,2018,"Orion PicturesSee full company information

","$3,016,149","February 22, 2018
            (EMEA)",PG-13,1 hr 37 min,"Drama
    
        Fantasy
    
        Romance","See more details at IMDbPro

","$4,900,000"
213,214,Swing Kids,"$10,397,408","$222,001",2.1%,"$10,175,407",97.9%,2018,"Well Go USA EntertainmentSee full company information

","$43,952","December 19, 2018
            (South Korea)",,2 hr 13 min,Drama,"See more details at IMDbPro

",
214,215,Lobster Cop,"$10,373,129","$85,693",0.8%,"$10,287,436",99.2%,2018,"China Lion Film DistributionSee full company information

","$35,015","June 21, 2018
            (APAC)",,1 hr 34 min,"Comedy
    
        Crime","See more details at IMDbPro

",
215,216,Kin,"$10,313,019","$5,718,096",55.4%,"$4,594,923",44.6%,2018,"LionsgateSee full company information

","$3,035,618","August 29, 2018
            (APAC, EMEA)",PG-13,1 hr 42 min,"Action
    
        Adventure
    
        Crime
    
        Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
216,217,Girls vs Gangsters,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%,2018,"Well Go USA EntertainmentSee full company information

","$15,044","March 2, 2018
            (China)",,2 hr,"Comedy
    
        Drama","See more details at IMDbPro

",
217,218,The Miracle Season,"$10,230,620","$10,230,620",100%,-,-,2018,Mirror/LD Entertainment,"$3,950,652","April 6, 2018
            (Domestic)",PG,1 hr 41 min,"Drama
    
        Sport","See more details at IMDbPro

",
218,219,Ben Is Back,"$10,134,204","$3,703,184",36.5%,"$6,431,020",63.5%,2018,"Roadside AttractionsSee full company information

","$80,734","December 6, 2018
            (United Arab Emirates)",R,1 hr 43 min,Drama,"See more details at IMDbPro

",
219,220,Papillon,"$10,060,903","$2,335,896",23.2%,"$7,725,007",76.8%,2018,"Bleecker Street MediaSee full company information

","$1,090,073","June 28, 2018
            (Italy)",R,2 hr 13 min,"Adventure
    
        Biography
    
        Crime
    
        Drama","See more details at IMDbPro

",
220,221,The Princess and the Matchmaker,"$9,899,017","$78,900",0.8%,"$9,820,117",99.2%,2018,"CJ EntertainmentSee full company information

","$20,142","February 28, 2018
            (South Korea)",,1 hr 50 min,"Comedy
    
        History
    
        Romance","See more details at IMDbPro

",
221,222,Simmba,"$9,846,453","$5,102,129",51.8%,"$4,744,324",48.2%,2018,"Reliance Big PicturesSee full company information

","$1,758,576","December 27, 2018
            (APAC, EMEA)",,2 hr 38 min,"Action
    
        Comedy
    
        Drama","See more details at IMDbPro

",
222,223,Traffik,"$9,515,914","$9,186,156",96.5%,"$329,758",3.5%,2018,"LionsgateSee full company information

","$3,941,338","April 20, 2018
            (Domestic)",R,1 hr 36 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
223,224,Replicas,"$9,330,075","$4,046,429",43.4%,"$5,283,646",56.6%,2018,"Entertainment Studios Motion PicturesSee full company information

","$2,375,325","October 25, 2018
            (Russia/CIS)",PG-13,1 hr 47 min,"Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
224,225,Mid90s,"$9,303,022","$7,362,439",79.1%,"$1,940,583",20.9%,2018,"A24See full company information

","$258,157","October 19, 2018
            (Domestic)",R,1 hr 25 min,"Comedy
    
        Drama","See more details at IMDbPro

",
225,226,Champion,"$8,974,547","$97,472",1.1%,"$8,877,075",98.9%,2018,"Well Go USA EntertainmentSee full company information

","$17,095","May 1, 2018
            (South Korea)",,1 hr 48 min,"Drama
    
        Sport","See more details at IMDbPro

",
226,227,7 Days in Entebbe,"$8,771,432","$3,326,885",37.9%,"$5,444,547",62.1%,2018,"Focus FeaturesSee full company information

","$1,592,645","March 15, 2018
            (Hong Kong)",PG-13,1 hr 47 min,"Action
    
        Drama
    
        History
    
        Thriller","See more details at IMDbPro

",
227,228,Pope Francis: A Man of His Word,"$8,608,385","$2,008,385",23.3%,"$6,600,000",76.7%,2018,"Focus FeaturesSee full company information

","$507,870","May 18, 2018
            (Domestic)",PG,1 hr 36 min,"Biography
    
        Documentary","See more details at IMDbPro

",
228,229,A-X-L,"$8,467,697","$6,501,381",76.8%,"$1,966,316",23.2%,2018,Global Road Entertainment,"$2,798,229","August 16, 2018
            (EMEA, APAC)",PG,1 hr 38 min,"Action
    
        Adventure
    
        Family
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
229,230,Disobedience,"$8,003,180","$3,498,782",43.7%,"$4,504,398",56.3%,2018,"Bleecker Street MediaSee full company information

","$237,393","April 27, 2018
            (Domestic)",R,1 hr 54 min,"Drama
    
        Romance","See more details at IMDbPro

",
230,231,Life Itself,"$7,997,774","$4,102,648",51.3%,"$3,895,126",48.7%,2018,"Amazon StudiosSee full company information

","$2,123,463","September 21, 2018
            (Domestic)",R,1 hr 57 min,"Drama
    
        Romance","See more details at IMDbPro

",
231,232,Suspiria,"$7,942,093","$2,483,472",31.3%,"$5,458,621",68.7%,2018,"Amazon StudiosSee full company information

","$184,037","October 26, 2018
            (Domestic)",R,2 hr 32 min,"Fantasy
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
232,233,Qué León,"$7,807,916","$2,607,916",33.4%,"$5,200,000",66.6%,2018,"Spanglish MoviesSee full company information

","$291,936","November 29, 2018
            (Domestic)",PG-13,1 hr 33 min,"Comedy
    
        Romance","See more details at IMDbPro

",
233,234,Amazing Grace,"$7,796,112","$4,450,456",57.1%,"$3,345,656",42.9%,2018,"NeonSee full company information

","$57,353","December 7, 2018
            (Domestic)",G,1 hr 29 min,"Documentary
    
        Music","See more details at IMDbPro

",
234,235,Leave No Trace,"$7,682,928","$6,046,104",78.7%,"$1,636,824",21.3%,2018,"Bleecker Street MediaSee full company information

","$219,140","June 29, 2018
            (Domestic, EMEA)",PG,1 hr 49 min,Drama,"See more details at IMDbPro

",
235,236,Pandas,"$7,635,778","$7,574,012",99.2%,"$61,766",0.8%,2018,"Warner Bros.See full company information

","$158,915","April 6, 2018
            (Domestic)",G,42 min,Documentary,"See more details at IMDbPro

",
236,237,Burning,"$7,576,345","$718,991",9.5%,"$6,857,354",90.5%,2018,"Well Go USA EntertainmentSee full company information

","$26,130","May 17, 2018
            (South Korea)",,2 hr 28 min,"Drama
    
        Mystery","See more details at IMDbPro

",
237,238,Beirut,"$7,509,436","$5,019,226",66.8%,"$2,490,210",33.2%,2018,"Bleecker Street MediaSee full company information

","$1,734,497","April 11, 2018
            (Domestic)",R,1 hr 49 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

",
238,239,God's Not Dead: A Light in Darkness,"$7,414,178","$5,728,940",77.3%,"$1,685,238",22.7%,2018,"Pure Flix EntertainmentSee full company information

","$2,689,677","March 30, 2018
            (Domestic)",PG,1 hr 45 min,Drama,"See more details at IMDbPro

",
239,240,Return of the Hero,"$7,362,730","$37,108",0.5%,"$7,325,622",99.5%,2018,"Distrib FilmsSee full company information

",$761,"February 14, 2018
            (APAC, EMEA)",,1 hr 30 min,"Comedy
    
        History","See more details at IMDbPro

",
240,241,In Safe Hands,"$7,086,596","$1,737",<0.1%,"$7,084,859",100%,2018,"Distrib FilmsSee full company information

",$348,"December 5, 2018
            (EMEA)",,1 hr 50 min,Drama,"See more details at IMDbPro

",
241,242,Dog Days,"$6,842,356","$6,809,080",99.5%,"$33,276",0.5%,2018,"LD EntertainmentSee full company information

","$2,554,766","August 8, 2018
            (Domestic)",PG,1 hr 53 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
242,243,Race 3,"$6,817,391","$1,690,861",24.8%,"$5,126,530",75.2%,2018,"Yash Raj FilmsSee full company information

","$1,690,861","June 14, 2018
            (EMEA, APAC)",,2 hr 40 min,"Action
    
        Thriller","See more details at IMDbPro

",
243,244,Fahrenheit 11/9,"$6,674,168","$6,352,306",95.2%,"$321,862",4.8%,2018,Briarcliff Entertainment,"$3,008,563","September 21, 2018
            (Domestic)",R,2 hr 8 min,Documentary,"See more details at IMDbPro

",
244,245,Soorma,"$6,579,645","$390,077",5.9%,"$6,189,568",94.1%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$168,354","July 12, 2018
            (EMEA, APAC)",PG-13,2 hr 11 min,"Biography
    
        Drama
    
        Sport","See more details at IMDbPro

",
245,246,Gotti,"$6,412,349","$4,343,227",67.7%,"$2,069,122",32.3%,2018,"Vertical EntertainmentSee full company information

","$1,719,902","June 14, 2018
            (Hungary)",R,1 hr 52 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

",
246,247,Unbroken: Path to Redemption,"$6,216,897","$6,216,897",100%,-,-,2018,"Pure Flix EntertainmentSee full company information

","$2,238,723","September 14, 2018
            (Domestic)",PG-13,1 hr 38 min,"Biography
    
        Drama
    
        History","See more details at IMDbPro

",
247,248,Ploey,"$6,146,292","$77,815",1.3%,"$6,068,477",98.7%,2018,"Viva PicturesSee full company information

",,"February 2, 2018
            (Iceland)",PG,1 hr 23 min,"Adventure
    
        Animation
    
        Family","See more details at IMDbPro

",
248,249,Mobile Suit Gundam Narrative,"$6,126,259","$259,224",4.2%,"$5,867,035",95.8%,2018,"Fathom EventsSee full company information

",,"November 30, 2018
            (Japan)",,1 hr 28 min,"Action
    
        Animation
    
        Sci-Fi","See more details at IMDbPro

",
249,250,Death of a Nation,"$5,885,881","$5,885,881",100%,-,-,2018,Quality Flix,"$2,356,522","August 3, 2018
            (Domestic)",PG-13,1 hr 48 min,"Documentary
    
        History","See more details at IMDbPro

","$6,000,000"
250,251,Incident in a Ghostland,"$5,643,957",-,-,"$5,643,957",100%,2018,"Vertical EntertainmentSee full company information

",,"March 14, 2018
            (France)",,1 hr 31 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
251,252,El Angel,"$5,604,680","$109,608",2%,"$5,495,072",98%,2018,"The OrchardSee full company information

","$23,348","August 9, 2018
            (LATAM)",,1 hr 58 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

",
252,253,Destroyer,"$5,580,940","$1,533,324",27.5%,"$4,047,616",72.5%,2018,"Annapurna PicturesSee full company information

","$55,347","December 25, 2018
            (Domestic)",R,2 hr 1 min,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
253,254,A Wizard's Tale,"$5,487,261","$2,150",<0.1%,"$5,485,111",100%,2018,"Blue Fox EntertainmentSee full company information

","$1,593","March 1, 2018
            (Italy)",,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

",
254,255,Never Look Away,"$5,105,444","$1,304,042",25.5%,"$3,801,402",74.5%,2018,"Sony Pictures ClassicsSee full company information

",,"October 3, 2018
            (Germany)",R,3 hr 9 min,"Biography
    
        Drama
    
        Romance
    
        Thriller
    
        War","See more details at IMDbPro

",
255,256,Action Point,"$5,103,663","$5,059,608",99.1%,"$44,055",0.9%,2018,"Paramount PicturesSee full company information

","$2,390,164","June 1, 2018
            (Domestic)",R,1 hr 25 min,Comedy,"See more details at IMDbPro

","$19,000,000"
256,257,Dogman,"$5,080,147","$148,225",2.9%,"$4,931,922",97.1%,2018,"Magnolia PicturesSee full company information

","$13,013","May 17, 2018
            (Italy)",,1 hr 43 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
257,258,Blindspotting,"$5,006,989","$4,333,394",86.5%,"$673,595",13.5%,2018,"LionsgateSee full company information

","$338,999","July 20, 2018
            (Domestic)",R,1 hr 35 min,"Comedy
    
        Crime
    
        Drama","See more details at IMDbPro

",
258,259,Sgt. Stubby: An American Hero,"$4,932,694","$4,015,935",81.4%,"$916,759",18.6%,2018,Fun Academy Motion Pictures,"$1,164,403","April 13, 2018
            (Domestic)",PG,1 hr 24 min,"Adventure
    
        Animation
    
        Family
    
        History
    
        War","See more details at IMDbPro

",
259,260,Samson,"$4,873,825","$4,719,928",96.8%,"$153,897",3.2%,2018,"Pure Flix EntertainmentSee full company information

","$1,942,569","February 16, 2018
            (Domestic)",PG-13,1 hr 50 min,"Action
    
        Drama","See more details at IMDbPro

",
260,261,Hamlet 2018 Re-release,"$4,630,718","$235,229",5.1%,"$4,395,489",94.9%,2018,,,"October 15, 2015
            (Russia/CIS)",,3 hr 37 min,Drama,"See more details at IMDbPro

",
261,262,Bad Samaritan,"$4,623,836","$3,435,047",74.3%,"$1,188,789",25.7%,2018,"Electric EntertainmentSee full company information

","$1,726,868","April 19, 2018
            (Russia/CIS)",R,1 hr 50 min,"Crime
    
        Horror
    
        Thriller","See more details at IMDbPro

",
262,263,Whitney,"$4,605,123","$3,026,351",65.7%,"$1,578,772",34.3%,2018,"Roadside AttractionsSee full company information

","$1,265,572","July 6, 2018
            (Domestic, EMEA)",R,2 hr,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

",
263,264,The Guilty,"$4,598,051","$207,140",4.5%,"$4,390,911",95.5%,2018,"Magnolia PicturesSee full company information

","$60,050","July 12, 2018
            (Czech Republic)",R,1 hr 25 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
264,265,"Juliet, Naked","$4,508,260","$3,444,895",76.4%,"$1,063,365",23.6%,2018,"Roadside AttractionsSee full company information

","$60,886","August 16, 2018
            (Netherlands)",R,1 hr 37 min,"Comedy
    
        Drama
    
        Music
    
        Romance","See more details at IMDbPro

",
265,266,Woman at War,"$4,474,828","$847,495",18.9%,"$3,627,333",81.1%,2018,"Magnolia PicturesSee full company information

","$18,370","May 25, 2018
            (Iceland)",Not Rated,1 hr 41 min,"Adventure
    
        Comedy
    
        Drama
    
        Thriller","See more details at IMDbPro

",
266,267,Storm Boy,"$4,281,218","$71,760",1.7%,"$4,209,458",98.3%,2018,"Good Deed EntertainmentSee full company information

","$46,676","January 18, 2018
            (Poland)",PG,1 hr 39 min,"Adventure
    
        Drama
    
        Family","See more details at IMDbPro

",
267,268,"Don't Worry, He Won't Get Far on Foot","$4,241,656","$1,441,705",34%,"$2,799,951",66%,2018,"Amazon StudiosSee full company information

","$83,339","April 4, 2018
            (EMEA)",R,1 hr 54 min,"Biography
    
        Comedy
    
        Drama","See more details at IMDbPro

",
268,269,Ghost Stories,"$4,131,358","$148,747",3.6%,"$3,982,611",96.4%,2018,"IFC FilmsSee full company information

","$11,972","April 6, 2018
            (United Kingdom)",,1 hr 38 min,"Drama
    
        Horror","See more details at IMDbPro

",
269,270,The Fall of the American Empire,"$4,110,928","$2,178,460",53%,"$1,932,468",47%,2018,"Entertainment OneSee full company information

","$338,216","June 29, 2018
            (Domestic)",R,2 hr 7 min,"Comedy
    
        Crime","See more details at IMDbPro

",
270,271,American Animals,"$4,080,073","$2,856,954",70%,"$1,223,119",30%,2018,"The OrchardSee full company information

","$134,793","June 1, 2018
            (Domestic)",R,1 hr 56 min,"Biography
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
271,272,Penguin Highway,"$4,006,647","$104,567",2.6%,"$3,902,080",97.4%,2018,"Eleven ArtsSee full company information

","$22,833","August 17, 2018
            (Japan)",Not Rated,1 hr 57 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Mystery","See more details at IMDbPro

",
272,273,A Private War,"$3,915,207","$1,633,208",41.7%,"$2,281,999",58.3%,2018,"Aviron PicturesSee full company information

","$60,491","November 2, 2018
            (Domestic)",R,1 hr 50 min,"Biography
    
        Drama
    
        War","See more details at IMDbPro

",
273,274,First Reformed,"$3,862,498","$3,448,256",89.3%,"$414,242",10.7%,2018,"A24See full company information

","$97,562","May 18, 2018
            (Domestic)",R,1 hr 53 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
274,275,Custody,"$3,790,303","$83,882",2.2%,"$3,706,421",97.8%,2018,"Kino LorberSee full company information

","$4,947","February 7, 2018
            (France)",,1 hr 33 min,Drama,"See more details at IMDbPro

",
275,276,Night of 7 Years,"$3,716,820","$24,281",0.7%,"$3,692,539",99.3%,2018,"CJ EntertainmentSee full company information

","$13,669","March 28, 2018
            (South Korea)",,2 hr 3 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

",
276,277,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893","$3,679,893",100%,-,-,2018,"GVN ReleasingSee full company information

","$1,162,988","October 12, 2018
            (Domestic)",PG-13,1 hr 33 min,"Crime
    
        Drama","See more details at IMDbPro

",
277,278,Non-Fiction,"$3,649,042","$704,919",19.3%,"$2,944,123",80.7%,2018,"IFC FilmsSee full company information

","$29,853","December 27, 2018
            (Italy)",R,1 hr 48 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
278,279,Indivisible,"$3,589,633","$3,511,417",97.8%,"$78,216",2.2%,2018,"Pure Flix EntertainmentSee full company information

","$1,503,101","October 25, 2018
            (New Zealand)",PG-13,1 hr 59 min,"Drama
    
        War","See more details at IMDbPro

",
279,280,The Apparition,"$3,562,793","$28,293",0.8%,"$3,534,500",99.2%,2018,"Music Box FilmsSee full company information

","$9,830","February 14, 2018
            (France)",,2 hr 24 min,Drama,"See more details at IMDbPro

",
